sequence,component_path,label,current_commandId,eventCalled,captureSource,lastSavedAtUtc,observed_commandId,observed_terminated_commandId,status,methodContext,evidence_line,notes
1,components.workspaceDropdown,DESIGN,SelectWorkspace,,,,,,missing,,,[2026-03-03T08:23:22.427471Z] user_intent=remove_component
2,components.workspaceDropdown.options[1],Design,DesignWorkspace,SelectCommand,command_started,2026-03-03T08:23:46.625926Z,,,replace,"{""event"": ""command_started"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T082309.285721Z;utc=2026-03-03T08:23:46.625926Z;event=saved;eventCalled=SelectCommand;source=command_started,saved from latest observed command (manual save fallback)
3,components.workspaceDropdown.options[2],Generative Design,GenerativeDesignWorkspace,,,,,,missing,,,
4,components.workspaceDropdown.options[3],Render,RenderWorkspace,,,,,,missing,,,
5,components.workspaceDropdown.options[4],Animation,AnimationWorkspace,,,,,,missing,,,
6,components.workspaceDropdown.options[5],Simulation,SimulationWorkspace,,,,,,missing,,,
7,components.workspaceDropdown.options[6],Manufacture,ManufactureWorkspace,,,,,,missing,,,
8,components.workspaceDropdown.options[7],Drawing,DrawingWorkspace,,,,,,missing,,,
9,components.environmentTabs.solid,SOLID,SolidTab,,,,,,missing,,,
10,components.environmentTabs.surface,SURFACE,SurfaceTab,,,,,,missing,,,
11,components.environmentTabs.mesh,MESH,MeshTab,,,,,,missing,,,
12,components.environmentTabs.sheetMetal,SHEET METAL,SheetMetalTab,,,,,,missing,,,
13,components.toolbarGroups.create.tools[1],New Component,NewComponentCommand,,,,,,missing,,,
14,components.toolbarGroups.create.tools[2],Create Sketch,SketchCreate,,,,,,missing,,,
15,components.toolbarGroups.create.tools[3],Extrude,Extrude,,,,,,missing,,,
16,components.toolbarGroups.create.tools[4],Revolve,Revolve,,,,,,missing,,,
17,components.toolbarGroups.create.tools[5],Sweep,Sweep,,,,,,missing,,,
18,components.toolbarGroups.create.tools[6],Loft,Loft,,,,,,missing,,,
19,components.toolbarGroups.create.tools[7],Hole,HoleCommand,,,,,,missing,,,
20,components.toolbarGroups.create.tools[8],Rectangular Pattern,RectangularPatternCommand,,,,,,missing,,,
21,components.toolbarGroups.create.tools[9],Mirror,MirrorCommand,,,,,,missing,,,
22,components.toolbarGroups.modify.tools[1],Press Pull,PressPull,,,,,,missing,,,
23,components.toolbarGroups.modify.tools[2],Fillet,Fillet,,,,,,missing,,,
24,components.toolbarGroups.modify.tools[3],Chamfer,Chamfer,,,,,,missing,,,
25,components.toolbarGroups.modify.tools[4],Shell,Shell,,,,,,missing,,,
26,components.toolbarGroups.modify.tools[5],Combine,Combine,,,,,,missing,,,
27,components.toolbarGroups.modify.tools[6],Split Body,SplitBody,,,,,,missing,,,
28,components.toolbarGroups.modify.tools[7],Move/Copy,Move,,,,,,missing,,,
29,components.navigationBar.orbit,orbit,OrbitCommand,,,,,,missing,,,
30,components.navigationBar.pan,pan,PanCommand,,,,,,missing,,,
31,components.navigationBar.zoom,zoom,ZoomCommand,,,,,,missing,,,
32,components.workspaceDropdown,DESIGN,SelectWorkspace,,,,,,missing,,,
33,components.workspaceDropdown.options[1],Design,DesignWorkspace,,,,,,missing,,,
34,components.workspaceDropdown.options[2],Generative Design,GenerativeDesignWorkspace,,,,,,missing,,,
35,components.workspaceDropdown.options[3],Render,RenderWorkspace,,,,,,missing,,,
36,components.workspaceDropdown.options[4],Animation,AnimationWorkspace,,,,,,missing,,,
37,components.workspaceDropdown.options[5],Simulation,SimulationWorkspace,,,,,,missing,,,
38,components.workspaceDropdown.options[6],Manufacture,ManufactureWorkspace,,,,,,missing,,,
39,components.workspaceDropdown.options[7],Drawing,DrawingWorkspace,,,,,,missing,,,
40,components.environmentTabs.solid,SOLID,SolidTab,,,,,,missing,,,
41,components.environmentTabs.surface,SURFACE,SurfaceTab,,,,,,missing,,,
42,components.environmentTabs.mesh,MESH,MeshTab,,,,,,missing,,,
43,components.environmentTabs.sketch,SKETCH,SketchTab,,,,,,missing,,,
44,components.toolbarGroups.create.tools[1],Line,LineCommand,,,,,,missing,,,
45,components.toolbarGroups.create.tools[2],2-Point Rectangle,TwoPointRectangleCommand,,,,,,missing,,,
46,components.toolbarGroups.create.tools[3],Center Diameter Circle,CenterDiameterCircleCommand,,,,,,missing,,,
47,components.toolbarGroups.create.tools[4],3-Point Arc,Arc3PointCommand,,,,,,missing,,,
48,components.toolbarGroups.create.tools[5],Mirror,SketchMirror,,,,,,missing,,,
49,components.toolbarGroups.create.tools[6],Sketch Dimension,SketchDimension,,,,,,missing,,,
50,components.toolbarGroups.modify.tools[1],Fillet,SketchFillet,,,,,,missing,,,
51,components.toolbarGroups.modify.tools[2],Trim,SketchTrim,,,,,,missing,,,
52,components.toolbarGroups.modify.tools[3],Extend,SketchExtend,,,,,,missing,,,
53,components.toolbarGroups.modify.tools[4],Offset,SketchOffset,,,,,,missing,,,
54,components.toolbarGroups.constraints.tools[1],Horizontal/Vertical,ConstraintHorizontalVertical,,,,,,missing,,,
55,components.toolbarGroups.constraints.tools[2],Coincident,ConstraintCoincident,,,,,,missing,,,
56,components.toolbarGroups.constraints.tools[3],Tangent,ConstraintTangent,,,,,,missing,,,
57,components.toolbarGroups.constraints.tools[4],Equal,ConstraintEqual,,,,,,missing,,,
58,components.finishSketch,FINISH SKETCH,SketchStop,,,,,,missing,,,
